water_density,water_per_lga,log_popdensity,NEAR_DIST_Water,NEAR_DIST_Health,population,Has_Outbreak,lgaarea,lganame,statename,Case
4.657624011587062,19,5.493967894118278,222.81118624642636,1612.7044603652091,38295.61355,0,158.1023712,Eastern Obolo,Akwa Ibom,0.0
4.657624011587062,19,5.493967894118278,222.81118624642636,1612.7044603652091,38295.61355,0,158.1023712,Eastern Obolo,Akwa Ibom,0.0
4.657624011587062,19,5.493967894118278,222.81118624642636,1612.7044603652091,38295.61355,0,158.1023712,Eastern Obolo,Akwa Ibom,0.0
4.657624011587062,19,5.493967894118278,222.81118624642636,1612.7044603652091,38295.61355,0,158.1023712,Eastern Obolo,Akwa Ibom,0.0
4.657624011587062,19,5.493967894118278,222.81118624642636,1612.7044603652091,38295.61355,0,158.1023712,Eastern Obolo,Akwa Ibom,0.0
6.867370548816627,195,4.920101874717893,569.231681808212,5774.062590051963,249647.6274,1,1835.420776,Ekeremor,Bayelsa,88.0
6.867370548816627,195,4.920101874717893,569.231681808212,5774.062590051963,249647.6274,1,1835.420776,Ekeremor,Bayelsa,52.0
6.867370548816627,195,4.920101874717893,569.231681808212,5774.062590051963,249647.6274,0,1835.420776,Ekeremor,Bayelsa,0.0
6.867370548816627,195,4.920101874717893,569.231681808212,5774.062590051963,249647.6274,1,1835.420776,Ekeremor,Bayelsa,21.0
6.867370548816627,195,4.920101874717893,569.231681808212,5774.062590051963,249647.6274,0,1835.420776,Ekeremor,Bayelsa,0.0
5.675664626716043,65,4.47203282886424,136.3372015841732,3738.526303267273,57489.07306,0,664.3486938,Degema,Rivers,0.0
5.675664626716043,65,4.47203282886424,136.3372015841732,3738.526303267273,57489.07306,0,664.3486938,Degema,Rivers,0.0
5.675664626716043,65,4.47203282886424,136.3372015841732,3738.526303267273,57489.07306,0,664.3486938,Degema,Rivers,0.0
5.675664626716043,65,4.47203282886424,136.3372015841732,3738.526303267273,57489.07306,1,664.3486938,Degema,Rivers,41.0
5.675664626716043,65,4.47203282886424,136.3372015841732,3738.526303267273,57489.07306,0,664.3486938,Degema,Rivers,0.0
7.197092467142894,229,5.827694242614069,366.72167279048654,2620.3390094591405,115638.809,1,341.5458374,Andoni,Rivers,60.0
7.197092467142894,229,5.827694242614069,366.72167279048654,2620.3390094591405,115638.809,1,341.5458374,Andoni,Rivers,36.0
7.197092467142894,229,5.827694242614069,366.72167279048654,2620.3390094591405,115638.809,0,341.5458374,Andoni,Rivers,0.0
7.197092467142894,229,5.827694242614069,366.72167279048654,2620.3390094591405,115638.809,0,341.5458374,Andoni,Rivers,0.0
7.197092467142894,229,5.827694242614069,366.72167279048654,2620.3390094591405,115638.809,0,341.5458374,Andoni,Rivers,0.0
4.037080729811646,11,5.060063023866428,7624.978620474679,1103.386955124162,122817.207,0,784.2711182,Akpabuyo,Cross River,0.0
4.037080729811646,11,5.060063023866428,7624.978620474679,1103.386955124162,122817.207,1,784.2711182,Akpabuyo,Cross River,2.0
4.037080729811646,11,5.060063023866428,7624.978620474679,1103.386955124162,122817.207,0,784.2711182,Akpabuyo,Cross River,0.0
4.037080729811646,11,5.060063023866428,7624.978620474679,1103.386955124162,122817.207,0,784.2711182,Akpabuyo,Cross River,0.0
4.037080729811646,11,5.060063023866428,7624.978620474679,1103.386955124162,122817.207,0,784.2711182,Akpabuyo,Cross River,0.0
2.040321138537781,1,6.693079346480334,1370.2880067481556,1928.8621444614373,118063.8133,0,146.5169983,Oron,Akwa Ibom,0.0
2.040321138537781,1,6.693079346480334,1370.2880067481556,1928.8621444614373,118063.8133,0,146.5169983,Oron,Akwa Ibom,0.0
2.040321138537781,1,6.693079346480334,1370.2880067481556,1928.8621444614373,118063.8133,0,146.5169983,Oron,Akwa Ibom,0.0
2.040321138537781,1,6.693079346480334,1370.2880067481556,1928.8621444614373,118063.8133,0,146.5169983,Oron,Akwa Ibom,0.0
2.040321138537781,1,6.693079346480334,1370.2880067481556,1928.8621444614373,118063.8133,0,146.5169983,Oron,Akwa Ibom,0.0
3.994719655281051,11,4.846419345082895,233.67280886458784,2721.28124771438,34080.31936,0,269.8708496,Bakassi,Cross River,0.0
3.994719655281051,11,4.846419345082895,233.67280886458784,2721.28124771438,34080.31936,1,269.8708496,Bakassi,Cross River,1.0
3.994719655281051,11,4.846419345082895,233.67280886458784,2721.28124771438,34080.31936,0,269.8708496,Bakassi,Cross River,0.0
3.994719655281051,11,4.846419345082895,233.67280886458784,2721.28124771438,34080.31936,0,269.8708496,Bakassi,Cross River,0.0
3.994719655281051,11,4.846419345082895,233.67280886458784,2721.28124771438,34080.31936,0,269.8708496,Bakassi,Cross River,0.0
0.0,0,7.385163600701218,213.19177385721588,1033.0847978780564,247819.2209,0,153.839798,Calabar South,Cross River,0.0
0.0,0,7.385163600701218,213.19177385721588,1033.0847978780564,247819.2209,0,153.839798,Calabar South,Cross River,0.0
0.0,0,7.385163600701218,213.19177385721588,1033.0847978780564,247819.2209,0,153.839798,Calabar South,Cross River,0.0
0.0,0,7.385163600701218,213.19177385721588,1033.0847978780564,247819.2209,0,153.839798,Calabar South,Cross River,0.0
0.0,0,7.385163600701218,213.19177385721588,1033.0847978780564,247819.2209,0,153.839798,Calabar South,Cross River,0.0
0.0,0,5.7797956089545135,502.88588765842576,1992.3529190123093,21318.44428,0,66.0641632,Udung Uko,Akwa Ibom,0.0
0.0,0,5.7797956089545135,502.88588765842576,1992.3529190123093,21318.44428,0,66.0641632,Udung Uko,Akwa Ibom,0.0
