lganame,statename,num_health_facilities,longitude,population,lgaarea,popdensity,Facilities_per_10k_people,water_per_lga,NEAR_DIST_Health,NEAR_DIST_Water,Case,Year
Calabar South,Cross River,84,8.3197817,247819.2209,153.839798,1610.89148,3.3895676,0,1033.0847978780564,213.19177385721588,0.0,2022.0
Calabar South,Cross River,84,8.3197817,247819.2209,153.839798,1610.89148,3.3895676,0,1033.0847978780564,213.19177385721588,0.0,2021.0
Udung Uko,Akwa Ibom,12,8.247373333,21318.44428,66.0641632,322.6930237,5.6289287,0,1992.3529190123093,502.88588765842576,0.0,2025.0
Udung Uko,Akwa Ibom,12,8.247373333,21318.44428,66.0641632,322.6930237,5.6289287,0,1992.3529190123093,502.88588765842576,0.0,2024.0
Udung Uko,Akwa Ibom,12,8.247373333,21318.44428,66.0641632,322.6930237,5.6289287,0,1992.3529190123093,502.88588765842576,0.0,2023.0
Udung Uko,Akwa Ibom,12,8.247373333,21318.44428,66.0641632,322.6930237,5.6289287,0,1992.3529190123093,502.88588765842576,0.0,2022.0
Udung Uko,Akwa Ibom,12,8.247373333,21318.44428,66.0641632,322.6930237,5.6289287,0,1992.3529190123093,502.88588765842576,0.0,2021.0
Southern Ijaw,Bayelsa,69,6.12588,288675.0538,2695.154297,107.1089172,2.3902309,281,1924.318354047817,238.40099221602225,228.0,2025.0
Southern Ijaw,Bayelsa,69,6.12588,288675.0538,2695.154297,107.1089172,2.3902309,281,1924.318354047817,238.40099221602225,172.0,2024.0
Southern Ijaw,Bayelsa,69,6.12588,288675.0538,2695.154297,107.1089172,2.3902309,281,1924.318354047817,238.40099221602225,0.0,2024.0
Southern Ijaw,Bayelsa,69,6.12588,288675.0538,2695.154297,107.1089172,2.3902309,281,1924.318354047817,238.40099221602225,72.0,2023.0
Southern Ijaw,Bayelsa,69,6.12588,288675.0538,2695.154297,107.1089172,2.3902309,281,1924.318354047817,238.40099221602225,42.0,2022.0
Iwajowa,Oyo,31,2.7241163,104129.3148,2525.466553,41.2317123,2.9770675,1,2657.5254175104046,23303.727830075244,0.0,2025.0
