LGA,State,Case,Year
Yola North,Adamawa,24,2022
Girei,Adamawa,7,2022
Alkaleri,Bauchi,395,2022
Ogbia,Bayelsa,16,2022
Southern Ijaw,Bayelsa,42,2022
Guma,Benue,70,2022
Bama,Borno,738,2022
Bayo,Borno,527,2022
Dikwa,Borno,1210,2022
Jere,Borno,5061,2022
Konduga,Borno,1549,2022
Mafa,Borno,30,2022
Maiduguri,Borno,844,2022
Maiduguri,Borno,29,2022
Ngala,Borno,1074,2022
Ngala,Borno,7,2022
Calabar Municipal,Cross River,105,2022
Ikom,Cross River,144,2022
Obanliku,Cross River,64,2022
Odukpani,Cross River,77,2022
Ogoja,Cross River,197,2022
Gombe,Gombe,295,2022
Yamaltu/Deba,Gombe,479,2022
Sule Tankarkar,Jigawa,75,2022
Gwarzo,Kano,145,2022
Katsina,Katsina,78,2022
Aleiro,Kebbi,50,2022
Edu,Kwara,30,2022
Ikorodu,Lagos,16,2022
Ikorodu,Lagos,16,2022
Degema,Rivers,41,2022
Bali,Taraba,424,2022
Gassol,Taraba,199,2022
Wukari,Taraba,152,2022
Fika,Yobe,366,2022
Gujba,Yobe,408,2022
Gulani,Yobe,433,2022
Talata Mafara,Zamfara,451,2022
Gummi,Zamfara,8,2022
Bukkuyum,Zamfara,7,2022
