lganame,statename,num_health_facilities,longitude,population,lgaarea,popdensity,Facilities_per_10k_people,water_per_lga,NEAR_DIST_Health,NEAR_DIST_Water
Abak,Akwa Ibom,31,7.787020000000000,196901.507500000006985,168.6127625,1167.773438,1.5743912,0,1012.056972207561671,7201.816056493504220
Nkanu East,Enugu,86,7.615795000000000,238030.688800000003539,811.973938,293.1506653,3.6129794,1,1245.790429784642811,6278.462139681286317
Igbo-Eze-South,Enugu,73,7.399285000000000,341150.416199999977835,166.2677765,2051.813232,2.1398187,0,250.521647999963420,17483.058021691958857
Nsukka,Enugu,104,7.596130371000000,593364.439699999988079,583.6709595,1016.607788,1.7527171,2,948.113133068857223,12350.493859289830652
Tai,Rivers,24,7.250305176000000,108414.812999999994645,163.7418671,662.1080933,2.2137196,100,1965.067749973426544,328.025473255212887
Ife North,Osun,43,4.417245000000000,174653.948600000003353,433.3392639,403.0420532,2.4620113,2,2399.896487025759598,8676.621370593687971
Ayedade,Osun,82,4.355308700000000,251333.799499999993714,991.4882202,253.4914703,3.2625935,0,2380.421999175314795,5046.961499589359846
Ayedire,Osun,35,4.196440753040000,101448.163300000000163,269.5350037,376.3821411,3.4500377,0,2473.397194506831056,697.573110245919452
Ahoada East,Rivers,48,6.635925293000000,335437.178100000019185,405.9042358,826.3948975,1.4309684,7,1875.599730419696243,1752.122706923194301
Iseyin,Oyo,81,3.595591667000000,316240.838099999993574,2293.025391,137.9142303,2.5613391,47,682.660101448205296,609.748277044569249
Itesiwaju,Oyo,28,3.506833333000000,149545.245400000014342,1719.323731,86.9791107,1.8723431,2,1858.170516086515136,14543.178286538855900
Kajola,Oyo,41,3.373153333000000,133290.655999999988126,636.2124023,209.5065308,3.0759845,2,107.524167864814814,11168.969127664542611
Nkanu West,Enugu,51,7.545471192000000,152491.430599999992410,232.3132629,656.4042969,3.3444502,0,940.933585595905242,5460.279991637910825
Afikpo North,Ebonyi,80,7.992863333000000,159529.791399999987334,260.0071716,613.5592041,5.0147371,5,707.281354382450104,1043.708520231880129
Donga,Taraba,85,10.286270000000000,284433.466200000024401,3092.126221,91.9863663,2.9883966,2,3872.817114252148713,8234.097020262432125
Oji-River,Enugu,119,7.272521973000000,232993.680300000007264,451.7591553,515.7475586,5.1074347,0,1215.906208362362577,8253.334907328633562
Oyun,Kwara,44,4.703125000000000,160452.053000000014435,485.2263489,330.6746521,2.7422521,1,2406.032027701491188,4022.424085229935827
Ogbia,Bayelsa,41,6.362640000000000,236460.940800000011222,693.375,341.0289307,1.7339016,71,2699.040219064659595,1235.165257010635059
Asari-Toru,Rivers,21,6.848510742000000,51035.909679999997024,216.1322174,236.1328125,4.1147499,23,267.712347156240185,375.315436852531661
Uyo,Akwa Ibom,83,7.912320000000000,572625.585399999981746,139.4762115,4105.542969,1.4494637,0,536.511446677357981,10259.159581054718728
Ikono,Akwa Ibom,27,7.781923394000000,99275.578320000000531,197.4467926,502.7966003,2.719702,0,317.501097310158968,10023.996336587575570
Baruten,Kwara,108,3.395690918000000,437930.313499999989290,8559.726563,51.1617165,2.4661458,23,14298.221452225618123,10558.234849214961287
Lagelu,Oyo,123,3.961089200000000,678229.584700000006706,394.5466003,1719.010132,1.8135452,7,1663.185147367791615,1105.856225476660711
Idah,Kogi,73,6.720850000000000,101756.685299999997369,131.6016541,773.2173462,7.1739759,9,267.008307355107945,3790.391265357098746
