lganame,statename,Actual_Status,Predicted_Risk,Risk_Prob,Tier
Gassol,Taraba,0,1,0.5852488576015004,Tier 1: Critical (Immediate Action)
Makurdi,Benue,0,1,0.5787771269989409,Tier 1: Critical (Immediate Action)
Obubra,Cross River,0,1,0.575739460687695,Tier 1: Critical (Immediate Action)
Obubra,Cross River,0,1,0.575739460687695,Tier 1: Critical (Immediate Action)
Sanga,Kaduna,0,1,0.5689989795315812,Tier 1: Critical (Immediate Action)
Sanga,Kaduna,0,1,0.5689989795315812,Tier 1: Critical (Immediate Action)
Oluyole,Oyo,0,1,0.5642737636009693,Tier 1: Critical (Immediate Action)
Magama,Niger,0,1,0.5588669254137496,Tier 1: Critical (Immediate Action)
Potiskum,Yobe,0,1,0.556455952336035,Tier 1: Critical (Immediate Action)
Potiskum,Yobe,0,1,0.556455952336035,Tier 1: Critical (Immediate Action)
Zaria,Kaduna,0,1,0.551457958015162,Tier 1: Critical (Immediate Action)
Akure South,Ondo,0,1,0.550732639651268,Tier 1: Critical (Immediate Action)
Anka,Zamfara,0,1,0.5471846386045545,Tier 1: Critical (Immediate Action)
Rabah,Sokoto,0,1,0.545893331113676,Tier 1: Critical (Immediate Action)
Gbako,Niger,0,1,0.5430353613780923,Tier 1: Critical (Immediate Action)
Maiha,Adamawa,0,1,0.5426785541740271,Tier 1: Critical (Immediate Action)
Munya,Niger,0,1,0.5419121258261037,Tier 1: Critical (Immediate Action)
Wushishi,Niger,0,1,0.5406971417965509,Tier 1: Critical (Immediate Action)
Gwoza,Borno,0,1,0.5369831507122057,Tier 1: Critical (Immediate Action)
Gwoza,Borno,0,1,0.5369831507122057,Tier 1: Critical (Immediate Action)
Agaie,Niger,0,1,0.536521200610888,Tier 1: Critical (Immediate Action)
Kajuru,Kaduna,0,1,0.5352738372741164,Tier 1: Critical (Immediate Action)
Guri,Jigawa,0,1,0.526236349417259,Tier 1: Critical (Immediate Action)
Guri,Jigawa,0,1,0.526236349417259,Tier 1: Critical (Immediate Action)
Ido,Oyo,0,1,0.5252952798737462,Tier 1: Critical (Immediate Action)
Ido,Oyo,0,1,0.5252952798737462,Tier 1: Critical (Immediate Action)
Ese Odo,Ondo,0,1,0.520371970015148,Tier 1: Critical (Immediate Action)
Shendam,Plateau,0,1,0.5157453961791895,Tier 1: Critical (Immediate Action)
Chibok,Borno,0,1,0.5145614190965021,Tier 1: Critical (Immediate Action)
Chibok,Borno,0,1,0.5145614190965021,Tier 1: Critical (Immediate Action)
Chibok,Borno,0,1,0.5145614190965021,Tier 1: Critical (Immediate Action)
Demsa,Adamawa,0,1,0.5120946012698703,Tier 1: Critical (Immediate Action)
Abi,Cross River,0,1,0.5110276000971825,Tier 1: Critical (Immediate Action)
Abi,Cross River,0,1,0.5110276000971825,Tier 1: Critical (Immediate Action)
Yorro,Taraba,0,1,0.5090237495931188,Tier 1: Critical (Immediate Action)
Yorro,Taraba,0,1,0.5090237495931188,Tier 1: Critical (Immediate Action)
Ogbaru,Anambra,0,1,0.5081687981174056,Tier 1: Critical (Immediate Action)
Ogbaru,Anambra,0,1,0.5081687981174056,Tier 1: Critical (Immediate Action)
Ibeju Lekki,Lagos,0,1,0.504270522323922,Tier 1: Critical (Immediate Action)
Ibeju Lekki,Lagos,0,1,0.504270522323922,Tier 1: Critical (Immediate Action)
Ibeju Lekki,Lagos,0,1,0.504270522323922,Tier 1: Critical (Immediate Action)
Borgu,Niger,0,1,0.4972514935024781,Tier 2: High (Priority Monitoring)
Birnin Magaji-Kiyaw,Zamfara,0,1,0.4972455167348632,Tier 2: High (Priority Monitoring)
Dawakin Kudu,Kano,0,1,0.49717467684162536,Tier 2: High (Priority Monitoring)
Patani,Delta,0,1,0.49653020235591006,Tier 2: High (Priority Monitoring)
Alkaleri,Bauchi,0,1,0.49564692195071464,Tier 2: High (Priority Monitoring)
Guma,Benue,0,1,0.4954814279090111,Tier 2: High (Priority Monitoring)
Owan West,Edo,0,1,0.4953041384302291,Tier 2: High (Priority Monitoring)
Sule Tankarkar,Jigawa,0,1,0.49457084437138266,Tier 2: High (Priority Monitoring)
Ogu Bolo,Rivers,0,1,0.49392709560414416,Tier 2: High (Priority Monitoring)
Ikpoba-Okha,Edo,0,1,0.4938356256271351,Tier 2: High (Priority Monitoring)
Edu,Kwara,0,1,0.4893844406189938,Tier 2: High (Priority Monitoring)
Doma,Nasarawa,0,1,0.4889898612979357,Tier 2: High (Priority Monitoring)
Ardo-Kola,Taraba,0,1,0.48893177702693275,Tier 2: High (Priority Monitoring)
Ardo-Kola,Taraba,0,1,0.48893177702693275,Tier 2: High (Priority Monitoring)
Ardo-Kola,Taraba,0,1,0.48893177702693275,Tier 2: High (Priority Monitoring)
Silame,Sokoto,0,1,0.4882638118608122,Tier 2: High (Priority Monitoring)
Silame,Sokoto,0,1,0.4882638118608122,Tier 2: High (Priority Monitoring)
Silame,Sokoto,0,1,0.4882638118608122,Tier 2: High (Priority Monitoring)
Egbeda,Oyo,0,1,0.4844572294805555,Tier 2: High (Priority Monitoring)
Egbeda,Oyo,0,1,0.4844572294805555,Tier 2: High (Priority Monitoring)
Agwara,Niger,0,1,0.4833296284018636,Tier 2: High (Priority Monitoring)
Agwara,Niger,0,1,0.4833296284018636,Tier 2: High (Priority Monitoring)
Agwara,Niger,0,1,0.4833296284018636,Tier 2: High (Priority Monitoring)
Doguwa,Kano,0,1,0.4831860933786405,Tier 2: High (Priority Monitoring)
Doguwa,Kano,0,1,0.4831860933786405,Tier 2: High (Priority Monitoring)
Doguwa,Kano,0,1,0.4831860933786405,Tier 2: High (Priority Monitoring)
Orhionmwon,Edo,0,1,0.47991840249828494,Tier 2: High (Priority Monitoring)
Kolokuma/Opokuma,Bayelsa,0,1,0.4790971785629988,Tier 2: High (Priority Monitoring)
Lau,Taraba,0,1,0.4783638392588207,Tier 2: High (Priority Monitoring)
Nassarawa,Kano,0,1,0.47653697314888616,Tier 2: High (Priority Monitoring)
Nassarawa,Kano,0,1,0.47653697314888616,Tier 2: High (Priority Monitoring)
Nassarawa,Kano,0,1,0.47653697314888616,Tier 2: High (Priority Monitoring)
Shiroro,Niger,0,1,0.4755920296626192,Tier 2: High (Priority Monitoring)
Kankara,Katsina,0,1,0.4716146448481748,Tier 2: High (Priority Monitoring)
Mushin,Lagos,0,1,0.47150901643483856,Tier 2: High (Priority Monitoring)
Mushin,Lagos,0,1,0.47150901643483856,Tier 2: High (Priority Monitoring)
Mushin,Lagos,0,1,0.47150901643483856,Tier 2: High (Priority Monitoring)
Ogbomosho North,Oyo,0,1,0.4699685724791622,Tier 2: High (Priority Monitoring)
Esan South-East,Edo,0,1,0.4699187152885365,Tier 2: High (Priority Monitoring)
Ogba/Egbema/Ndoni,Rivers,0,1,0.4686000279175342,Tier 2: High (Priority Monitoring)
Ogba/Egbema/Ndoni,Rivers,0,1,0.4686000279175342,Tier 2: High (Priority Monitoring)
Ovia North-East,Edo,0,1,0.4685714058787906,Tier 2: High (Priority Monitoring)
Akpabuyo,Cross River,0,1,0.4678688481537663,Tier 2: High (Priority Monitoring)
Birnin Gwari,Kaduna,0,1,0.4643545102651959,Tier 2: High (Priority Monitoring)
Birnin Gwari,Kaduna,0,1,0.4643545102651959,Tier 2: High (Priority Monitoring)
Birnin Gwari,Kaduna,0,1,0.4643545102651959,Tier 2: High (Priority Monitoring)
Roni,Jigawa,0,1,0.4641926171170461,Tier 2: High (Priority Monitoring)
Tai,Rivers,0,1,0.4640756696165294,Tier 2: High (Priority Monitoring)
Bakassi,Cross River,0,1,0.4634900125850805,Tier 2: High (Priority Monitoring)
Iseyin,Oyo,0,1,0.4633537784866472,Tier 2: High (Priority Monitoring)
Iseyin,Oyo,0,1,0.4633537784866472,Tier 2: High (Priority Monitoring)
Iseyin,Oyo,0,1,0.4633537784866472,Tier 2: High (Priority Monitoring)
Wamba,Nasarawa,0,1,0.46331749034341,Tier 2: High (Priority Monitoring)
Askira Uba,Borno,0,1,0.46327950191444667,Tier 2: High (Priority Monitoring)
Maru,Zamfara,0,1,0.4616018753908827,Tier 2: High (Priority Monitoring)
Maru,Zamfara,0,1,0.4616018753908827,Tier 2: High (Priority Monitoring)
Ikot Abasi,Akwa Ibom,0,1,0.4603982441809222,Tier 2: High (Priority Monitoring)
Okitipupa,Ondo,0,1,0.45721814024837676,Tier 2: High (Priority Monitoring)
Oyo West,Oyo,0,1,0.4570649977084242,Tier 2: High (Priority Monitoring)
Ibeno,Akwa Ibom,0,1,0.4534385683510561,Tier 2: High (Priority Monitoring)
Zuru,Kebbi,0,1,0.4523740141040717,Tier 2: High (Priority Monitoring)
Shira,Bauchi,0,1,0.4500487259542765,Tier 2: High (Priority Monitoring)
Isoko South,Delta,0,1,0.44974749783687296,Tier 2: High (Priority Monitoring)
Afijio,Oyo,0,1,0.4478879514728443,Tier 2: High (Priority Monitoring)
