lganame,statename,Actual_Status,Predicted_Risk,Risk_Probability
Silame,Sokoto,0,1,0.4882638118608122
Silame,Sokoto,0,1,0.4882638118608122
Egbeda,Oyo,0,1,0.4844572294805555
Egbeda,Oyo,0,1,0.4844572294805555
Agwara,Niger,0,1,0.4833296284018636
Agwara,Niger,0,1,0.4833296284018636
Agwara,Niger,0,1,0.4833296284018636
Doguwa,Kano,0,1,0.4831860933786405
Doguwa,Kano,0,1,0.4831860933786405
Doguwa,Kano,0,1,0.4831860933786405
Orhionmwon,Edo,0,1,0.47991840249828494
Kolokuma/Opokuma,Bayelsa,0,1,0.4790971785629988
Lau,Taraba,0,1,0.4783638392588207
Nassarawa,Kano,0,1,0.47653697314888616
Nassarawa,Kano,0,1,0.47653697314888616
Nassarawa,Kano,0,1,0.47653697314888616
Shiroro,Niger,0,1,0.4755920296626192
Kankara,Katsina,0,1,0.4716146448481748
Mushin,Lagos,0,1,0.47150901643483856
Mushin,Lagos,0,1,0.47150901643483856
Mushin,Lagos,0,1,0.47150901643483856
Ogbomosho North,Oyo,0,1,0.4699685724791622
Esan South-East,Edo,0,1,0.4699187152885365
Ogba/Egbema/Ndoni,Rivers,0,1,0.4686000279175342
Ogba/Egbema/Ndoni,Rivers,0,1,0.4686000279175342
Ovia North-East,Edo,0,1,0.4685714058787906
Akpabuyo,Cross River,0,1,0.4678688481537663
Birnin Gwari,Kaduna,0,1,0.4643545102651959
Birnin Gwari,Kaduna,0,1,0.4643545102651959
Birnin Gwari,Kaduna,0,1,0.4643545102651959
Roni,Jigawa,0,1,0.4641926171170461
Tai,Rivers,0,1,0.4640756696165294
Bakassi,Cross River,0,1,0.4634900125850805
Iseyin,Oyo,0,1,0.4633537784866472
Iseyin,Oyo,0,1,0.4633537784866472
Iseyin,Oyo,0,1,0.4633537784866472
Wamba,Nasarawa,0,1,0.46331749034341
Askira Uba,Borno,0,1,0.46327950191444667
Maru,Zamfara,0,1,0.4616018753908827
Maru,Zamfara,0,1,0.4616018753908827
Ikot Abasi,Akwa Ibom,0,1,0.4603982441809222
Okitipupa,Ondo,0,1,0.45721814024837676
Oyo West,Oyo,0,1,0.4570649977084242
Ibeno,Akwa Ibom,0,1,0.4534385683510561
Zuru,Kebbi,0,1,0.4523740141040717
Shira,Bauchi,0,1,0.4500487259542765
Isoko South,Delta,0,1,0.44974749783687296
Afijio,Oyo,0,1,0.4478879514728443
Apapa,Lagos,0,1,0.44615442364199526
Gada,Sokoto,0,1,0.4456806658126884
Marte,Borno,0,1,0.44563469214801776
Hawul,Borno,0,1,0.44503592246474727
Ila,Osun,0,1,0.4442929326285396
Yauri,Kebbi,0,1,0.4441392376340474
Abadam,Borno,0,1,0.4436514060349439
Akwanga,Nasarawa,0,1,0.44297943429436026
Akwanga,Nasarawa,0,1,0.44297943429436026
Akwanga,Nasarawa,0,1,0.44297943429436026
Yamaltu/Deba,Gombe,0,1,0.4424239007864015
Yamaltu/Deba,Gombe,0,1,0.4424239007864015
Kaugama,Jigawa,0,1,0.4422417468474762
Kaugama,Jigawa,0,1,0.4422417468474762
Mbo,Akwa Ibom,0,1,0.44172038735426866
Mbo,Akwa Ibom,0,1,0.44172038735426866
Girei,Adamawa,0,1,0.4401940047000085
Girei,Adamawa,0,1,0.4401940047000085
Bagudu,Kebbi,0,1,0.4401239457536636
Jos North,Plateau,0,1,0.44010020490743074
Jos North,Plateau,0,1,0.44010020490743074
Kubau,Kaduna,0,1,0.4393358166297749
Faskari,Katsina,0,1,0.43767097200244137
Kala Balge,Borno,0,1,0.4376193389741377
Kala Balge,Borno,0,1,0.4376193389741377
Kala Balge,Borno,0,1,0.4376193389741377
Wase,Plateau,0,1,0.43508815837580683
Yala,Cross River,0,1,0.4347760607795154
Michika,Adamawa,0,1,0.4344257497739825
Michika,Adamawa,0,1,0.4344257497739825
Maiyama,Kebbi,0,1,0.4334514897427425
Toungo,Adamawa,0,1,0.43240066092151225
Ohaji/Egbema,Imo,0,1,0.4321360081030884
Ogo Oluwa,Oyo,0,1,0.430197995407172
Obafemi Owode,Ogun,0,1,0.4293941632782108
Gombi,Adamawa,0,1,0.4291406497144054
Wasagu-Danko,Kebbi,0,1,0.4290756143482487
Bursari,Yobe,0,1,0.4287880035389275
Kukawa,Borno,0,1,0.4286026534024369
Kukawa,Borno,0,1,0.4286026534024369
Kukawa,Borno,0,1,0.4286026534024369
Kukawa,Borno,0,1,0.4286026534024369
Dange Shuni,Sokoto,0,1,0.42664001572751487
Shomgom,Gombe,0,1,0.42448773049021077
Shomgom,Gombe,0,1,0.42448773049021077
Ungogo,Kano,0,1,0.4235098646332353
Shani,Borno,0,1,0.42283548097821144
Sabuwa,Katsina,0,1,0.4227703169346708
Aniocha South,Delta,0,1,0.42095251979314274
Aniocha South,Delta,0,1,0.42095251979314274
Oyo East,Oyo,0,1,0.41829951298677065
Oyo East,Oyo,0,1,0.41829951298677065
Oyo East,Oyo,0,1,0.41829951298677065
Suleja,Niger,0,1,0.4164524415183616
Suleja,Niger,0,1,0.4164524415183616
Mangu,Plateau,0,1,0.4160849013444336
Mariga,Niger,0,1,0.41423619756279456
Nasarawa Egon,Nasarawa,0,1,0.411668016036775
Warri South,Delta,0,1,0.4109099732664754
Soba,Kaduna,0,1,0.4107900985840348
Lagos Island,Lagos,0,1,0.40886119980462865
Shagari,Sokoto,0,1,0.4086839401304843
Ingawa,Katsina,0,1,0.40867438850752114
Bonny,Rivers,0,1,0.4080390478229969
Shelleng,Adamawa,0,1,0.4052958631294632
Shelleng,Adamawa,0,1,0.4052958631294632
Pankshin,Plateau,0,1,0.3998533356769313
Irepodun,Kwara,0,1,0.39727940602723244
Irepodun,Kwara,0,1,0.39727940602723244
Ndokwa West,Delta,0,1,0.3954147141031132
Ndokwa West,Delta,0,1,0.3954147141031132
Bichi,Kano,0,1,0.39312248151386703
Bichi,Kano,0,1,0.39312248151386703
Oru East,Imo,0,1,0.39162079544055944
Barkin Ladi,Plateau,0,1,0.3905954319618567
Eastern Obolo,Akwa Ibom,0,1,0.39049239615955045
Kaura Namoda,Zamfara,0,1,0.3900990979638165
Kirfi,Bauchi,0,1,0.38960744743756487
Tangaza,Sokoto,0,1,0.38947530995188395
Tangaza,Sokoto,0,1,0.38947530995188395
Rafi,Niger,0,1,0.3880186184167523
Kusada,Katsina,0,1,0.38712931354168917
Ibadan North East,Oyo,0,1,0.38711650871403014
Damboa,Borno,0,1,0.3855698894364162
Gashaka,Taraba,0,1,0.3834726481004724
Obio/Akpor,Rivers,0,1,0.3833994156701708
Rijau,Niger,0,1,0.3830076772242895
Obot Akara,Akwa Ibom,0,1,0.38231144511360937
Kunchi,Kano,0,1,0.38170660552343444
Madagali,Adamawa,0,1,0.37843117100262136
Mubi South,Adamawa,0,1,0.3774793340131916
Mubi South,Adamawa,0,1,0.3774793340131916
Kiri Kasama,Jigawa,0,1,0.3772769535303449
Kiri Kasama,Jigawa,0,1,0.3772769535303449
Yagba West,Kogi,0,1,0.3767934300825687
Yagba West,Kogi,0,1,0.3767934300825687
Yagba West,Kogi,0,1,0.3767934300825687
Ikwo,Ebonyi,0,1,0.3745775419580688
