LGA,State,Case,Year
Umuahia North,Abia,30,2025
Southern Ijaw,Bayelsa,228,2025
Nembe,Bayelsa,208,2025
Ekeremor,Bayelsa,88,2025
Ogbia,Bayelsa,67,2025
Yenegoa,Bayelsa,57,2025
Brass,Bayelsa,51,2025
Sagbama,Bayelsa,44,2025
Kolokuma/Opokuma,Bayelsa,20,2025
Makurdi,Benue,26,2025
Patani,Delta,19,2025
Borgu,Niger,28,2025
Andoni,Rivers,60,2025
Akuku Toru,Rivers,47,2025
